cityId,stateId,en_name,lat,lng,state_name,country_name
700,1,Kuda Uduwa,6.747871,80.078499,Western,Sri Lanka
701,1,Labbala,6.4833,80,Western,Sri Lanka
702,1,lhalahewessa,6.4415,80.1807,Western,Sri Lanka
703,1,lnduruwa,6.4681,80.0257,Western,Sri Lanka
704,1,lngiriya,6.7296,80.0604,Western,Sri Lanka
705,1,Maggona,6.503158,79.977597,Western,Sri Lanka
706,1,Mahagama,6.620177,80.154204,Western,Sri Lanka
707,1,Mahakalupahana,6.3917,80.1417,Western,Sri Lanka
708,1,Maharangalla,6.4667,80,Western,Sri Lanka
709,1,Malgalla Talangalla,6.5791,80.2233,Western,Sri Lanka
710,1,Matugama,6.5222,80.1144,Western,Sri Lanka
711,1,Meegahatenna,6.3637,80.285,Western,Sri Lanka
712,1,Meegama,6.648,80.0089,Western,Sri Lanka
713,1,Meegoda,6.8053,80.0829,Western,Sri Lanka
714,1,Millaniya,6.686206,80.017227,Western,Sri Lanka
715,1,Millewa,6.7833,80.0667,Western,Sri Lanka
716,1,Miwanapalana,6.75,80.1,Western,Sri Lanka
717,1,Molkawa,6.607725,80.238612,Western,Sri Lanka
718,1,Morapitiya,6.527127,80.263667,Western,Sri Lanka
719,1,Morontuduwa,6.65,79.9667,Western,Sri Lanka
720,1,Nawattuduwa,6.5019,80.0937,Western,Sri Lanka
721,1,Neboda,6.5906,80.0842,Western,Sri Lanka
722,1,Padagoda,6.456979,80.009049,Western,Sri Lanka
723,1,Pahalahewessa,6.4333,80.2667,Western,Sri Lanka
724,1,Paiyagala,6.5167,80.0167,Western,Sri Lanka
725,1,Panadura,6.7133,79.9042,Western,Sri Lanka
726,1,Pannala,6.4833,80,Western,Sri Lanka
727,1,Paragastota,6.6667,80,Western,Sri Lanka
728,1,Paragoda,6.627108,80.24112,Western,Sri Lanka
729,1,Paraigama,6.4167,80.1167,Western,Sri Lanka
730,1,Pelanda,6.6056,80.2333,Western,Sri Lanka
731,1,Pelawatta,6.385227,80.207989,Western,Sri Lanka
732,1,Pimbura,6.570997,80.161311,Western,Sri Lanka
733,1,Pitagaldeniya,6.45,80.2667,Western,Sri Lanka
734,1,Pokunuwita,6.7333,80.0333,Western,Sri Lanka
735,1,Poruwedanda,6.7333,80.1167,Western,Sri Lanka
736,1,Ratmale,6.45,80.2,Western,Sri Lanka
737,1,Remunagoda,6.594994,80.031349,Western,Sri Lanka
738,1,Talgaswela,6.4415,80.1807,Western,Sri Lanka
739,1,Tebuwana,6.5944,80.0611,Western,Sri Lanka
740,1,Uduwara,6.6167,80.0667,Western,Sri Lanka
741,1,Utumgama,6.3917,80.1417,Western,Sri Lanka
742,1,Veyangalla,6.5422,80.1583,Western,Sri Lanka
743,1,Wadduwa,6.667121,79.924051,Western,Sri Lanka
744,1,Walagedara,6.437775,80.071449,Western,Sri Lanka
745,1,Walallawita,6.3667,80.2,Western,Sri Lanka
746,1,Waskaduwa,6.6317,79.9442,Western,Sri Lanka
747,1,Welipenna,6.466448,80.101763,Western,Sri Lanka
748,1,Weliveriya,6.7167,80.0333,Western,Sri Lanka
749,1,Welmilla Junction,6.7072,80.01,Western,Sri Lanka
750,1,Weragala,6.527062,80.004097,Western,Sri Lanka
751,1,Yagirala,6.378714,80.161812,Western,Sri Lanka
752,1,Yatadolawatta,6.52309,80.064428,Western,Sri Lanka
753,1,Yatawara Junction,6.5983,80.0015,Western,Sri Lanka
754,2,Aludeniya,7.370491,80.46648,Central,Sri Lanka
755,2,Ambagahapelessa,7.243803,81.00264,Central,Sri Lanka
756,2,Ambagamuwa Udabulathgama,7.0333,80.5,Central,Sri Lanka
757,2,Ambatenna,7.3472,80.6192,Central,Sri Lanka
758,2,Ampitiya,7.2667,80.65,Central,Sri Lanka
759,2,Ankumbura,7.434149,80.568704,Central,Sri Lanka
760,2,Atabage,7.1333,80.6,Central,Sri Lanka
761,2,Balana,7.269032,80.485503,Central,Sri Lanka
762,2,Bambaragahaela,7.0523,80.5023,Central,Sri Lanka
763,2,Batagolladeniya,7.41596,80.576688,Central,Sri Lanka
764,2,Batugoda,7.366275,80.59604,Central,Sri Lanka
765,2,Batumulla,7.256086,80.978905,Central,Sri Lanka
766,2,Bawlana,7.211388,80.718828,Central,Sri Lanka
767,2,Bopana,7.3,80.9,Central,Sri Lanka
768,2,Danture,7.2833,80.5333,Central,Sri Lanka
769,2,Dedunupitiya,7.3333,80.4333,Central,Sri Lanka
770,2,Dekinda,7.014688,80.509932,Central,Sri Lanka
771,2,Deltota,7.2,80.6667,Central,Sri Lanka
772,2,Divulankadawala,7.175,80.55,Central,Sri Lanka
773,2,Dolapihilla,7.393576,80.584659,Central,Sri Lanka
774,2,Dolosbage,7.0806,80.4731,Central,Sri Lanka
775,2,Dunuwila,7.3833,80.6333,Central,Sri Lanka
776,2,Etulgama,7.2333,80.65,Central,Sri Lanka
777,2,Galaboda,6.9875,80.5319,Central,Sri Lanka
778,2,Galagedara,7.369716,80.520308,Central,Sri Lanka
779,2,Galaha,7.195764,80.668659,Central,Sri Lanka
780,2,Galhinna,7.418361,80.560015,Central,Sri Lanka
781,2,Gampola,7.1647,80.5767,Central,Sri Lanka
782,2,Gelioya,7.2136,80.6017,Central,Sri Lanka
783,2,Godamunna,7.227313,80.697447,Central,Sri Lanka
784,2,Gomagoda,7.3167,80.7333,Central,Sri Lanka
785,2,Gonagantenna,7.1517,80.7118,Central,Sri Lanka
786,2,Gonawalapatana,7.0358,80.5262,Central,Sri Lanka
787,2,Gunnepana,7.2696,80.6537,Central,Sri Lanka
788,2,Gurudeniya,7.265953,80.702921,Central,Sri Lanka
789,2,Hakmana,7.334701,80.82402,Central,Sri Lanka
790,2,Handaganawa,7.277451,80.989485,Central,Sri Lanka
791,2,Handawalapitiya,7.2,80.6667,Central,Sri Lanka
792,2,Handessa,7.230048,80.580831,Central,Sri Lanka
